employee_id,gender,hub,pickup_hub,uses_company_transport,transport_shift,transport_eligibility,extension_category,shift_logout,predicted_extension_minutes,safety_priority_score,requires_security_escort,home_distance_km,home_lat,home_lon,status
1,Female,Hopes,Hopes,False,NON_TRANSPORT,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 18:30:00,0,4.0,False,7.38,11.007393,77.02274,Active
2,Male,Thudiyalur,Thudiyalur,False,NON_TRANSPORT,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 00:30:00,0,4.0,False,8.8,11.011847,76.87532,Active
3,Female,Ganapathy,Ganapathy,False,NON_TRANSPORT,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 21:30:00,0,4.0,False,3.87,11.0367,76.984871,Active
4,Female,Saravanampatti,Saravanampatti,True,04:30,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 04:30:00,0,7.0,True,14.11,11.132525,77.008819,Active
5,Male,Hopes,Hopes,False,NON_TRANSPORT,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 18:30:00,0,1.0,False,10.44,11.031401,77.050282,Active
6,Male,Thudiyalur,Thudiyalur,False,NON_TRANSPORT,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 21:30:00,0,1.0,False,11.74,11.12219,76.962961,Active
7,Male,Singanallur,Singanallur,True,03:30,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 03:30:00,0,4.0,False,4.39,11.017155,76.99606,Active
8,Male,Thudiyalur,Thudiyalur,True,04:30,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 04:30:00,0,4.0,False,2.76,10.992016,76.954989,Active
9,Female,Saravanampatti,Saravanampatti,False,NON_TRANSPORT,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 18:30:00,0,4.0,False,11.6,11.112501,76.998207,Active
10,Male,Hopes,Hopes,False,NON_TRANSPORT,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 00:30:00,0,4.0,False,5.54,11.012907,77.006358,Active
11,Male,Singanallur,Singanallur,True,04:30,FULL_HOME_DROP,EXTEND_BEYOND_0630,2025-01-01 04:30:00,90,4.0,False,14.61,11.143466,76.920236,Active
12,Male,Saravanampatti,Saravanampatti,False,NON_TRANSPORT,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 18:30:00,0,1.0,False,8.82,11.094659,76.971085,Active
13,Male,Saravanampatti,Saravanampatti,False,NON_TRANSPORT,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 00:30:00,0,4.0,False,4.0,11.048128,76.937826,Active
14,Male,Singanallur,Singanallur,True,04:30,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 04:30:00,0,4.0,False,4.0,10.994457,76.984553,Active
15,Female,Saravanampatti,Saravanampatti,False,NON_TRANSPORT,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 00:30:00,0,7.0,True,7.56,11.084523,76.962051,Active
16,Male,Singanallur,Singanallur,False,NON_TRANSPORT,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 21:30:00,0,1.0,False,7.67,11.012723,77.025953,Active
17,Male,Saravanampatti,Saravanampatti,True,03:30,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 03:30:00,0,4.0,False,6.96,11.066318,76.994836,Active
18,Male,Saravanampatti,Saravanampatti,False,NON_TRANSPORT,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 00:30:00,0,4.0,False,8.54,11.070594,77.011712,Active
19,Male,Saravanampatti,Saravanampatti,True,04:30,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 04:30:00,0,4.0,False,9.33,11.088912,76.999485,Active
20,Male,Saravanampatti,Saravanampatti,False,NON_TRANSPORT,FULL_HOME_DROP,NO_EXTENSION,2025-01-01 18:30:00,0,1.0,False,5.39,11.038987,76.999751,Active
